,cluster_4,cluster_5,cluster_0,cluster_8,cluster_2,cluster_10,cluster_7,cluster_1,cluster_6,cluster_9,cluster_3
cluster_4(d: 20.52 r: 13.63),,13.98,19.76,19.95,25.21,21.79,22.67,23.73,24.58,11.59,8.78
cluster_5(d: 6.56 r: 5.32),,,30.09,13.05,34.41,25.22,12.41,35.42,20.95,16.47,22.73
cluster_0(d: 19.57 r: 18.54),,,,31.04,20.88,20.44,34.09,9.28,28.26,22.40,17.19
cluster_8(d: 3.49 r: 2.79),,,,,42.25,32.55,5.56,38.76,10.47,13.41,27.34
cluster_2(d: 18.45 r: 12.47),,,,,,15.34,43.53,14.97,42.98,34.97,22.56
cluster_10(d: 17.97 r: 11.10),,,,,,,32.41,21.20,32.51,29.95,24.48
cluster_7(d: 3.94 r: 3.67),,,,,,,,41.55,12.63,18.31,30.79
cluster_1(d: 16.36 r: 11.18),,,,,,,,,37.11,29.25,18.84
cluster_6(d: 12.42 r: 7.91),,,,,,,,,,17.21,30.52
cluster_9(d: 7.46 r: 6.56),,,,,,,,,,,15.85
cluster_3(d: 5.48 r: 3.49),,,,,,,,,,,
